SCHOOL YEAR END DATE,BEDS CODE,NAME,SUBJECT,TOTAL ENROLLED,TOTAL NOT TESTED,TOTAL TESTED,LEVEL 1 COUNT,LEVEL 1 PCT,LEVEL 2 COUNT,LEVEL 2 PCT,LEVEL 3 COUNT,LEVEL 3 PCT,LEVEL 4 COUNT,LEVEL 4 PCT,LEVEL 3-4 PCT,MEAN SCALE SCORE
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 6 Math,43,41,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 7 ELA,38,34,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 7 Math,38,33,5,2,40%,3,60%,0,0%,0,0%,0%,591
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 8 ELA,42,34,8,2,25%,4,50%,2,25%,0,0%,25%,589
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 8 Math,42,39,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010063,STAR ACADEMY PS 63 (THE),Grade 3 ELA,28,27,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010063,STAR ACADEMY PS 63 (THE),Grade 3 Math,27,26,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010063,STAR ACADEMY PS 63 (THE),Grade 4 ELA,22,14,8,2,25%,3,38%,0,0%,3,38%,38%,599
6/30/2021,310100010063,STAR ACADEMY PS 63 (THE),Grade 4 Math,22,13,9,6,67%,3,33%,0,0%,0,0%,0%,580
6/30/2021,310100010063,STAR ACADEMY PS 63 (THE),Grade 5 ELA,28,26,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010063,STAR ACADEMY PS 63 (THE),Grade 5 Math,28,26,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010064,PS 64 ROBERT SIMON,Grade 3 ELA,32,19,13,2,15%,5,38%,3,23%,3,23%,46%,598
6/30/2021,310100010064,PS 64 ROBERT SIMON,Grade 3 Math,32,19,13,8,62%,2,15%,1,8%,2,15%,23%,583
6/30/2021,310100010064,PS 64 ROBERT SIMON,Grade 4 ELA,38,19,19,5,26%,4,21%,4,21%,6,32%,53%,599
6/30/2021,310100010064,PS 64 ROBERT SIMON,Grade 4 Math,38,19,19,8,42%,5,26%,1,5%,5,26%,32%,592
6/30/2021,310100010064,PS 64 ROBERT SIMON,Grade 5 ELA,29,13,16,8,50%,5,31%,3,19%,0,0%,19%,592
6/30/2021,310100010064,PS 64 ROBERT SIMON,Grade 5 Math,29,12,17,10,59%,3,18%,2,12%,2,12%,24%,586
6/30/2021,310100010110,PS 110 FLORENCE NIGHTINGALE,Grade 3 ELA,61,50,11,1,9%,0,0%,5,45%,5,45%,91%,620
6/30/2021,310100010110,PS 110 FLORENCE NIGHTINGALE,Grade 3 Math,61,47,14,0,0%,3,21%,4,29%,7,50%,79%,611
6/30/2021,310100010110,PS 110 FLORENCE NIGHTINGALE,Grade 4 ELA,50,36,14,0,0%,0,0%,4,29%,10,71%,100%,629
6/30/2021,310100010110,PS 110 FLORENCE NIGHTINGALE,Grade 4 Math,50,32,18,0,0%,1,6%,3,17%,14,78%,94%,618
6/30/2021,310100010110,PS 110 FLORENCE NIGHTINGALE,Grade 5 ELA,51,40,11,1,9%,2,18%,2,18%,6,55%,73%,624
6/30/2021,310100010110,PS 110 FLORENCE NIGHTINGALE,Grade 5 Math,51,39,12,1,8%,1,8%,1,8%,9,75%,83%,613
6/30/2021,310100010134,PS 134 HENRIETTA SZOLD,Grade 3 ELA,30,26,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010134,PS 134 HENRIETTA SZOLD,Grade 3 Math,30,26,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010134,PS 134 HENRIETTA SZOLD,Grade 4 ELA,29,24,5,1,20%,0,0%,2,40%,2,40%,80%,609
6/30/2021,310100010134,PS 134 HENRIETTA SZOLD,Grade 4 Math,29,25,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010134,PS 134 HENRIETTA SZOLD,Grade 5 ELA,38,34,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010134,PS 134 HENRIETTA SZOLD,Grade 5 Math,38,34,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 3 ELA,31,26,5,1,20%,2,40%,2,40%,0,0%,40%,593
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 3 Math,31,28,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 4 ELA,22,18,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 4 Math,22,17,5,2,40%,2,40%,1,20%,0,0%,20%,588
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 5 ELA,28,28,0,0,,0,,0,,0,,,
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 5 Math,28,28,0,0,,0,,0,,0,,,
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 6 ELA,49,47,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 6 Math,49,47,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 7 ELA,55,50,5,0,0%,4,80%,0,0%,1,20%,20%,604
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 7 Math,55,50,5,0,0%,3,60%,1,20%,1,20%,40%,602
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 8 ELA,55,53,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 8 Math,55,53,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010142,PS 142 AMALIA CASTRO,Grade 3 ELA,45,45,0,0,,0,,0,,0,,,
6/30/2021,310100010142,PS 142 AMALIA CASTRO,Grade 3 Math,45,45,0,0,,0,,0,,0,,,
6/30/2021,310100010142,PS 142 AMALIA CASTRO,Grade 4 ELA,41,41,0,0,,0,,0,,0,,,
6/30/2021,310100010142,PS 142 AMALIA CASTRO,Grade 4 Math,42,42,0,0,,0,,0,,0,,,
6/30/2021,310100010142,PS 142 AMALIA CASTRO,Grade 5 ELA,39,39,0,0,,0,,0,,0,,,
6/30/2021,310100010142,PS 142 AMALIA CASTRO,Grade 5 Math,39,39,0,0,,0,,0,,0,,,
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 3 ELA,61,27,34,1,3%,4,12%,16,47%,13,38%,85%,616
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 3 Math,61,26,35,3,9%,4,11%,10,29%,18,51%,80%,613
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 4 ELA,58,17,41,2,5%,2,5%,8,20%,29,71%,90%,624
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 4 Math,58,18,40,2,5%,5,13%,12,30%,21,53%,83%,612
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 5 ELA,52,22,30,6,20%,6,20%,5,17%,13,43%,60%,611
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 5 Math,52,22,30,1,3%,5,17%,11,37%,13,43%,80%,611
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 6 ELA,89,36,53,6,11%,6,11%,17,32%,24,45%,77%,611
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 6 Math,89,33,56,7,13%,12,21%,12,21%,25,45%,66%,608
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 7 ELA,97,35,62,11,18%,6,10%,21,34%,24,39%,73%,611
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 7 Math,97,35,62,4,6%,9,15%,16,26%,33,53%,79%,617
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 8 ELA,99,41,58,4,7%,6,10%,12,21%,36,62%,83%,618
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 8 Math,99,99,0,0,,0,,0,,0,,,
6/30/2021,310100010188,PS 188 ISLAND SCHOOL (THE),Grade 3 ELA,35,4,31,10,32%,12,39%,8,26%,1,3%,29%,587
6/30/2021,310100010188,PS 188 ISLAND SCHOOL (THE),Grade 3 Math,35,5,30,21,70%,4,13%,3,10%,2,7%,17%,578
6/30/2021,310100010188,PS 188 ISLAND SCHOOL (THE),Grade 4 ELA,32,3,29,6,21%,12,41%,5,17%,6,21%,38%,594
6/30/2021,310100010188,PS 188 ISLAND SCHOOL (THE),Grade 4 Math,32,6,26,12,46%,6,23%,4,15%,4,15%,31%,590
6/30/2021,310100010188,PS 188 ISLAND SCHOOL (THE),Grade 5 ELA,43,7,36,19,53%,10,28%,4,11%,3,8%,19%,586
6/30/2021,310100010188,PS 188 ISLAND SCHOOL (THE),Grade 5 Math,43,8,35,21,60%,5,14%,9,26%,0,0%,26%,587
6/30/2021,310100010188,PS 188 ISLAND SCHOOL (THE),Grade 6 ELA,41,5,36,10,28%,10,28%,6,17%,10,28%,44%,596
6/30/2021,310100010188,PS 188 ISLAND SCHOOL (THE),Grade 6 Math,42,8,34,26,76%,5,15%,3,9%,0,0%,9%,581
6/30/2021,310100010188,PS 188 ISLAND SCHOOL (THE),Grade 7 ELA,56,13,43,18,42%,14,33%,9,21%,2,5%,26%,591
6/30/2021,310100010188,PS 188 ISLAND SCHOOL (THE),Grade 7 Math,56,20,36,12,33%,9,25%,7,19%,8,22%,42%,596
6/30/2021,310100010188,PS 188 ISLAND SCHOOL (THE),Grade 8 ELA,46,2,44,9,20%,23,52%,9,20%,3,7%,27%,591
6/30/2021,310100010188,PS 188 ISLAND SCHOOL (THE),Grade 8 Math,46,45,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010315,EAST VILLAGE COMMUNITY SCHOOL (THE),Grade 3 ELA,41,27,14,0,0%,5,36%,4,29%,5,36%,64%,611
6/30/2021,310100010315,EAST VILLAGE COMMUNITY SCHOOL (THE),Grade 3 Math,41,27,14,3,21%,5,36%,2,14%,4,29%,43%,599
6/30/2021,310100010315,EAST VILLAGE COMMUNITY SCHOOL (THE),Grade 4 ELA,46,22,24,0,0%,3,13%,3,13%,18,75%,88%,621
6/30/2021,310100010315,EAST VILLAGE COMMUNITY SCHOOL (THE),Grade 4 Math,46,24,22,3,14%,4,18%,9,41%,6,27%,68%,604
6/30/2021,310100010315,EAST VILLAGE COMMUNITY SCHOOL (THE),Grade 5 ELA,36,17,19,2,11%,5,26%,5,26%,7,37%,63%,617
6/30/2021,310100010315,EAST VILLAGE COMMUNITY SCHOOL (THE),Grade 5 Math,36,17,19,3,16%,6,32%,6,32%,4,21%,53%,601
6/30/2021,310100010332,UNIVERSITY NEIGHBORHOOD MIDDLE,Grade 6 ELA,56,53,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010332,UNIVERSITY NEIGHBORHOOD MIDDLE,Grade 6 Math,56,53,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010332,UNIVERSITY NEIGHBORHOOD MIDDLE,Grade 7 ELA,59,57,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010332,UNIVERSITY NEIGHBORHOOD MIDDLE,Grade 7 Math,59,57,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010332,UNIVERSITY NEIGHBORHOOD MIDDLE,Grade 8 ELA,59,57,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010332,UNIVERSITY NEIGHBORHOOD MIDDLE,Grade 8 Math,59,57,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010361,CHILDREN'S WORKSHOP SCHOOL (THE),Grade 3 ELA,36,30,6,0,0%,1,17%,3,50%,2,33%,83%,613
6/30/2021,310100010361,CHILDREN'S WORKSHOP SCHOOL (THE),Grade 3 Math,36,26,10,5,50%,3,30%,1,10%,1,10%,20%,586
6/30/2021,310100010361,CHILDREN'S WORKSHOP SCHOOL (THE),Grade 4 ELA,41,31,10,1,10%,2,20%,5,50%,2,20%,70%,599
6/30/2021,310100010361,CHILDREN'S WORKSHOP SCHOOL (THE),Grade 4 Math,41,32,9,3,33%,3,33%,3,33%,0,0%,33%,593
6/30/2021,310100010361,CHILDREN'S WORKSHOP SCHOOL (THE),Grade 5 ELA,38,32,6,0,0%,1,17%,1,17%,4,67%,83%,628
6/30/2021,310100010361,CHILDREN'S WORKSHOP SCHOOL (THE),Grade 5 Math,38,31,7,0,0%,3,43%,4,57%,0,0%,57%,602
6/30/2021,310100010363,NEIGHBORHOOD SCHOOL,Grade 3 ELA,41,40,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010363,NEIGHBORHOOD SCHOOL,Grade 3 Math,41,40,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010363,NEIGHBORHOOD SCHOOL,Grade 4 ELA,30,30,0,0,,0,,0,,0,,,
6/30/2021,310100010363,NEIGHBORHOOD SCHOOL,Grade 4 Math,30,30,0,0,,0,,0,,0,,,
6/30/2021,310100010363,NEIGHBORHOOD SCHOOL,Grade 5 ELA,33,30,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010363,NEIGHBORHOOD SCHOOL,Grade 5 Math,33,30,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010364,EARTH SCHOOL,Grade 3 ELA,36,33,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010364,EARTH SCHOOL,Grade 3 Math,36,33,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010364,EARTH SCHOOL,Grade 4 ELA,36,35,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010364,EARTH SCHOOL,Grade 4 Math,36,35,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010364,EARTH SCHOOL,Grade 5 ELA,33,32,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010364,EARTH SCHOOL,Grade 5 Math,33,32,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010378,SCHOOL FOR GLOBAL LEADERS,Grade 6 ELA,61,59,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010378,SCHOOL FOR GLOBAL LEADERS,Grade 6 Math,62,59,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010378,SCHOOL FOR GLOBAL LEADERS,Grade 7 ELA,44,42,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010378,SCHOOL FOR GLOBAL LEADERS,Grade 7 Math,44,42,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010378,SCHOOL FOR GLOBAL LEADERS,Grade 8 ELA,56,55,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010378,SCHOOL FOR GLOBAL LEADERS,Grade 8 Math,56,55,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010839,TOMPKINS SQUARE MIDDLE SCHOOL,Grade 6 ELA,109,95,14,3,21%,0,0%,4,29%,7,50%,79%,604
6/30/2021,310100010839,TOMPKINS SQUARE MIDDLE SCHOOL,Grade 6 Math,109,94,15,4,27%,1,7%,7,47%,3,20%,67%,603
6/30/2021,310100010839,TOMPKINS SQUARE MIDDLE SCHOOL,Grade 7 ELA,103,97,6,1,17%,2,33%,3,50%,0,0%,50%,602
6/30/2021,310100010839,TOMPKINS SQUARE MIDDLE SCHOOL,Grade 7 Math,103,97,6,2,33%,2,33%,2,33%,0,0%,33%,592
6/30/2021,310100010839,TOMPKINS SQUARE MIDDLE SCHOOL,Grade 8 ELA,104,92,12,2,17%,0,0%,8,67%,2,17%,83%,607
6/30/2021,310100010839,TOMPKINS SQUARE MIDDLE SCHOOL,Grade 8 Math,104,99,5,1,20%,3,60%,1,20%,0,0%,20%,597
6/30/2021,310100011450,EAST SIDE COMMUNITY SCHOOL,Grade 6 ELA,88,82,6,0,0%,2,33%,2,33%,2,33%,67%,607
6/30/2021,310100011450,EAST SIDE COMMUNITY SCHOOL,Grade 6 Math,88,83,5,1,20%,3,60%,1,20%,0,0%,20%,595
6/30/2021,310100011450,EAST SIDE COMMUNITY SCHOOL,Grade 7 ELA,89,81,8,2,25%,1,13%,1,13%,4,50%,63%,610
6/30/2021,310100011450,EAST SIDE COMMUNITY SCHOOL,Grade 7 Math,89,82,7,0,0%,5,71%,1,14%,1,14%,29%,602
6/30/2021,310100011450,EAST SIDE COMMUNITY SCHOOL,Grade 8 ELA,88,76,12,0,0%,3,25%,4,33%,5,42%,75%,608
6/30/2021,310100011450,EAST SIDE COMMUNITY SCHOOL,Grade 8 Math,88,76,12,1,8%,3,25%,6,50%,2,17%,67%,611
6/30/2021,310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",Grade 3 ELA,117,48,69,0,0%,0,0%,20,29%,49,71%,100%,630
6/30/2021,310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",Grade 3 Math,117,47,70,0,0%,2,3%,4,6%,64,91%,97%,628
6/30/2021,310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",Grade 4 ELA,109,28,81,0,0%,1,1%,8,10%,72,89%,99%,635
6/30/2021,310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",Grade 4 Math,109,32,77,0,0%,2,3%,7,9%,68,88%,97%,627
6/30/2021,310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",Grade 5 ELA,130,41,89,1,1%,8,9%,8,9%,72,81%,90%,635
6/30/2021,310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",Grade 5 Math,130,37,93,0,0%,0,0%,4,4%,89,96%,100%,630
6/30/2021,310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",Grade 6 ELA,118,47,71,0,0%,1,1%,4,6%,66,93%,99%,631
6/30/2021,310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",Grade 6 Math,118,45,73,1,1%,3,4%,11,15%,58,79%,95%,624
6/30/2021,310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",Grade 7 ELA,118,45,73,0,0%,3,4%,19,26%,51,70%,96%,628
6/30/2021,310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",Grade 7 Math,118,46,72,0,0%,3,4%,19,26%,50,69%,96%,622
6/30/2021,310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",Grade 8 ELA,122,89,33,0,0%,2,6%,3,9%,28,85%,94%,627
6/30/2021,310100011539,"NEW EXPLORATIONS SCI, TECH & MATH",Grade 8 Math,122,122,0,0,,0,,0,,0,,,
6/30/2021,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW,Grade 3 ELA,56,49,7,1,14%,3,43%,2,29%,1,14%,43%,594
6/30/2021,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW,Grade 3 Math,56,49,7,2,29%,2,29%,2,29%,1,14%,43%,589
6/30/2021,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW,Grade 4 ELA,57,45,12,3,25%,1,8%,5,42%,3,25%,67%,604
6/30/2021,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW,Grade 4 Math,57,45,12,6,50%,3,25%,2,17%,1,8%,25%,585
6/30/2021,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW,Grade 5 ELA,77,69,8,0,0%,2,25%,3,38%,3,38%,75%,618
6/30/2021,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW,Grade 5 Math,77,53,24,13,54%,4,17%,2,8%,5,21%,29%,592
6/30/2021,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW,Grade 6 ELA,79,62,17,4,24%,2,12%,5,29%,6,35%,65%,604
6/30/2021,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW,Grade 6 Math,79,64,15,10,67%,3,20%,1,7%,1,7%,13%,586
6/30/2021,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW,Grade 7 ELA,75,35,40,1,3%,11,28%,19,48%,9,23%,70%,610
6/30/2021,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW,Grade 7 Math,75,37,38,15,39%,14,37%,8,21%,1,3%,24%,588
6/30/2021,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW,Grade 8 ELA,73,51,22,1,5%,4,18%,8,36%,9,41%,77%,612
6/30/2021,310100860866,GIRLS PREPARATORY CHARTER SCHOOL OF NEW,Grade 8 Math,73,73,0,0,,0,,0,,0,,,
6/30/2021,310100860873,MANHATTAN CHARTER SCHOOL,Grade 3 ELA,43,28,15,4,27%,3,20%,8,53%,0,0%,53%,592
6/30/2021,310100860873,MANHATTAN CHARTER SCHOOL,Grade 3 Math,43,27,16,6,38%,5,31%,4,25%,1,6%,31%,586
6/30/2021,310100860873,MANHATTAN CHARTER SCHOOL,Grade 4 ELA,37,21,16,0,0%,1,6%,5,31%,10,63%,94%,624
6/30/2021,310100860873,MANHATTAN CHARTER SCHOOL,Grade 4 Math,37,21,16,4,25%,4,25%,6,38%,2,13%,50%,596
6/30/2021,310100860873,MANHATTAN CHARTER SCHOOL,Grade 5 ELA,37,21,16,4,25%,2,13%,7,44%,3,19%,63%,607
6/30/2021,310100860873,MANHATTAN CHARTER SCHOOL,Grade 5 Math,37,20,17,5,29%,6,35%,6,35%,0,0%,35%,595
6/30/2021,310100861031,MANHATTAN CHARTER SCHOOL II,Grade 3 ELA,25,13,12,0,0%,3,25%,9,75%,0,0%,75%,604
6/30/2021,310100861031,MANHATTAN CHARTER SCHOOL II,Grade 3 Math,25,13,12,4,33%,5,42%,2,17%,1,8%,25%,590
6/30/2021,310100861031,MANHATTAN CHARTER SCHOOL II,Grade 4 ELA,27,9,18,3,17%,6,33%,5,28%,4,22%,50%,598
6/30/2021,310100861031,MANHATTAN CHARTER SCHOOL II,Grade 4 Math,27,12,15,8,53%,5,33%,2,13%,0,0%,13%,584
6/30/2021,310100861031,MANHATTAN CHARTER SCHOOL II,Grade 5 ELA,29,10,19,8,42%,5,26%,4,21%,2,11%,32%,596
6/30/2021,310100861031,MANHATTAN CHARTER SCHOOL II,Grade 5 Math,29,12,17,15,88%,2,12%,0,0%,0,0%,0%,576
6/30/2021,310100861055,GREAT OAKS CHARTER SCHOOL,Grade 6 ELA,61,41,20,15,75%,4,20%,1,5%,0,0%,5%,578
6/30/2021,310100861055,GREAT OAKS CHARTER SCHOOL,Grade 6 Math,61,47,14,12,86%,1,7%,1,7%,0,0%,7%,575
6/30/2021,310100861055,GREAT OAKS CHARTER SCHOOL,Grade 7 ELA,102,79,23,6,26%,8,35%,4,17%,5,22%,39%,598
6/30/2021,310100861055,GREAT OAKS CHARTER SCHOOL,Grade 7 Math,102,84,18,5,28%,5,28%,3,17%,5,28%,44%,599
6/30/2021,310100861055,GREAT OAKS CHARTER SCHOOL,Grade 8 ELA,103,74,29,8,28%,13,45%,6,21%,2,7%,28%,588
6/30/2021,310100861055,GREAT OAKS CHARTER SCHOOL,Grade 8 Math,103,74,29,13,45%,11,38%,5,17%,0,0%,17%,589
6/30/2021,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Grade 3 ELA,2712,1316,1396,42,3%,139,10%,607,43%,608,44%,87%,618
6/30/2021,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Grade 3 Math,2705,1270,1435,95,7%,147,10%,460,32%,733,51%,83%,612
6/30/2021,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Grade 4 ELA,2668,1352,1316,24,2%,122,9%,239,18%,931,71%,89%,625
6/30/2021,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Grade 4 Math,2667,1329,1338,96,7%,171,13%,312,23%,759,57%,80%,612
6/30/2021,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Grade 5 ELA,2670,1517,1153,87,8%,185,16%,279,24%,602,52%,76%,620
6/30/2021,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Grade 5 Math,2669,1514,1155,110,10%,160,14%,274,24%,611,53%,77%,613
6/30/2021,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Grade 6 ELA,2782,1782,1000,50,5%,81,8%,232,23%,637,64%,87%,618
6/30/2021,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Grade 6 Math,2778,1785,993,121,12%,199,20%,262,26%,411,41%,68%,610
6/30/2021,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Grade 7 ELA,2781,1749,1032,51,5%,127,12%,337,33%,517,50%,83%,619
6/30/2021,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Grade 7 Math,2777,1786,991,69,7%,156,16%,246,25%,520,52%,77%,615
6/30/2021,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Grade 8 ELA,2912,2274,638,22,3%,77,12%,157,25%,382,60%,84%,616
6/30/2021,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,Grade 8 Math,2911,2706,205,61,30%,75,37%,33,16%,36,18%,34%,601
6/30/2021,310200010001,PS 1 ALFRED E SMITH,Grade 3 ELA,35,23,12,1,8%,3,25%,6,50%,2,17%,67%,603
6/30/2021,310200010001,PS 1 ALFRED E SMITH,Grade 3 Math,34,22,12,1,8%,0,0%,7,58%,4,33%,92%,607
6/30/2021,310200010001,PS 1 ALFRED E SMITH,Grade 4 ELA,38,24,14,0,0%,4,29%,5,36%,5,36%,71%,607
6/30/2021,310200010001,PS 1 ALFRED E SMITH,Grade 4 Math,38,23,15,5,33%,4,27%,3,20%,3,20%,40%,593
6/30/2021,310200010001,PS 1 ALFRED E SMITH,Grade 5 ELA,39,25,14,5,36%,0,0%,4,29%,5,36%,64%,601
6/30/2021,310200010001,PS 1 ALFRED E SMITH,Grade 5 Math,38,25,13,2,15%,5,38%,4,31%,2,15%,46%,601
6/30/2021,310200010002,PS 2 MEYER LONDON,Grade 3 ELA,78,55,23,4,17%,5,22%,12,52%,2,9%,61%,602
6/30/2021,310200010002,PS 2 MEYER LONDON,Grade 3 Math,78,55,23,4,17%,2,9%,9,39%,8,35%,74%,603
6/30/2021,310200010002,PS 2 MEYER LONDON,Grade 4 ELA,59,29,30,2,7%,5,17%,12,40%,11,37%,77%,611
6/30/2021,310200010002,PS 2 MEYER LONDON,Grade 4 Math,59,29,30,7,23%,5,17%,10,33%,8,27%,60%,600
6/30/2021,310200010002,PS 2 MEYER LONDON,Grade 5 ELA,71,41,30,8,27%,7,23%,11,37%,4,13%,50%,602
6/30/2021,310200010002,PS 2 MEYER LONDON,Grade 5 Math,71,39,32,8,25%,7,22%,11,34%,6,19%,53%,599
6/30/2021,310200010003,PS 3 CHARRETTE SCHOOL,Grade 3 ELA,85,49,36,0,0%,1,3%,14,39%,21,58%,97%,626
6/30/2021,310200010003,PS 3 CHARRETTE SCHOOL,Grade 3 Math,86,48,38,1,3%,4,11%,9,24%,24,63%,87%,615
6/30/2021,310200010003,PS 3 CHARRETTE SCHOOL,Grade 4 ELA,96,62,34,0,0%,2,6%,4,12%,28,82%,94%,632
6/30/2021,310200010003,PS 3 CHARRETTE SCHOOL,Grade 4 Math,96,64,32,3,9%,4,13%,9,28%,16,50%,78%,610
6/30/2021,310200010003,PS 3 CHARRETTE SCHOOL,Grade 5 ELA,73,53,20,2,10%,4,20%,6,30%,8,40%,70%,615
6/30/2021,310200010003,PS 3 CHARRETTE SCHOOL,Grade 5 Math,74,54,20,2,10%,3,15%,6,30%,9,45%,75%,610
6/30/2021,310200010006,PS 6 LILLIE D BLAKE,Grade 3 ELA,89,18,71,2,3%,2,3%,33,46%,34,48%,94%,621
6/30/2021,310200010006,PS 6 LILLIE D BLAKE,Grade 3 Math,89,18,71,2,3%,4,6%,26,37%,39,55%,92%,616
