SCHOOL YEAR END DATE,BEDS CODE,NAME,SUBJECT,TOTAL ENROLLED,TOTAL NOT TESTED,TOTAL TESTED,LEVEL 1 COUNT,LEVEL 1 PCT,LEVEL 2 COUNT,LEVEL 2 PCT,LEVEL 3 COUNT,LEVEL 3 PCT,LEVEL 4 COUNT,LEVEL 4 PCT,LEVEL 3-4 PCT,MEAN SCALE SCORE
6/30/2021,342900010138,PS/MS 138 SUNRISE,Grade 3 Math,48,40,8,4,50%,1,13%,3,38%,0,0%,38%,586
6/30/2021,342900010138,PS/MS 138 SUNRISE,Grade 4 ELA,53,39,14,5,36%,5,36%,3,21%,1,7%,29%,586
6/30/2021,342900010138,PS/MS 138 SUNRISE,Grade 4 Math,53,36,17,10,59%,5,29%,2,12%,0,0%,12%,582
6/30/2021,342900010138,PS/MS 138 SUNRISE,Grade 5 ELA,63,39,24,12,50%,4,17%,6,25%,2,8%,33%,592
6/30/2021,342900010138,PS/MS 138 SUNRISE,Grade 5 Math,63,39,24,17,71%,5,21%,2,8%,0,0%,8%,580
6/30/2021,342900010138,PS/MS 138 SUNRISE,Grade 6 ELA,85,57,28,9,32%,5,18%,9,32%,5,18%,50%,593
6/30/2021,342900010138,PS/MS 138 SUNRISE,Grade 6 Math,83,52,31,16,52%,8,26%,6,19%,1,3%,23%,590
6/30/2021,342900010138,PS/MS 138 SUNRISE,Grade 7 ELA,88,72,16,5,31%,6,38%,5,31%,0,0%,31%,591
6/30/2021,342900010138,PS/MS 138 SUNRISE,Grade 7 Math,88,72,16,9,56%,6,38%,1,6%,0,0%,6%,585
6/30/2021,342900010138,PS/MS 138 SUNRISE,Grade 8 ELA,91,62,29,4,14%,8,28%,11,38%,6,21%,59%,602
6/30/2021,342900010138,PS/MS 138 SUNRISE,Grade 8 Math,91,63,28,9,32%,12,43%,4,14%,3,11%,25%,599
6/30/2021,342900010147,PS/MS 147 RONALD MCNAIR,Grade 3 ELA,49,46,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,342900010147,PS/MS 147 RONALD MCNAIR,Grade 3 Math,49,46,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,342900010147,PS/MS 147 RONALD MCNAIR,Grade 4 ELA,44,40,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,342900010147,PS/MS 147 RONALD MCNAIR,Grade 4 Math,44,40,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,342900010147,PS/MS 147 RONALD MCNAIR,Grade 5 ELA,52,48,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,342900010147,PS/MS 147 RONALD MCNAIR,Grade 5 Math,52,48,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,342900010147,PS/MS 147 RONALD MCNAIR,Grade 6 ELA,59,59,0,0,,0,,0,,0,,,
6/30/2021,342900010147,PS/MS 147 RONALD MCNAIR,Grade 6 Math,59,59,0,0,,0,,0,,0,,,
6/30/2021,342900010147,PS/MS 147 RONALD MCNAIR,Grade 7 ELA,72,65,7,3,43%,3,43%,1,14%,0,0%,14%,589
6/30/2021,342900010147,PS/MS 147 RONALD MCNAIR,Grade 7 Math,72,65,7,-,-,-,-,-,-,-,-,-,-
6/30/2021,342900010147,PS/MS 147 RONALD MCNAIR,Grade 8 ELA,88,83,5,1,20%,2,40%,2,40%,0,0%,40%,593
6/30/2021,342900010147,PS/MS 147 RONALD MCNAIR,Grade 8 Math,88,82,6,2,33%,4,67%,0,0%,0,0%,0%,595
6/30/2021,342900010156,PS 156 LAURELTON,Grade 3 ELA,19,18,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,342900010156,PS 156 LAURELTON,Grade 3 Math,19,18,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,342900010156,PS 156 LAURELTON,Grade 4 ELA,20,18,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,342900010156,PS 156 LAURELTON,Grade 4 Math,20,18,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,342900010156,PS 156 LAURELTON,Grade 5 ELA,32,32,0,0,,0,,0,,0,,,
6/30/2021,342900010156,PS 156 LAURELTON,Grade 5 Math,32,32,0,0,,0,,0,,0,,,
6/30/2021,342900010176,PS 176 CAMBRIA HEIGHTS,Grade 3 ELA,119,96,23,0,0%,0,0%,14,61%,9,39%,100%,620
6/30/2021,342900010176,PS 176 CAMBRIA HEIGHTS,Grade 3 Math,119,96,23,0,0%,5,22%,5,22%,13,57%,78%,614
6/30/2021,342900010176,PS 176 CAMBRIA HEIGHTS,Grade 4 ELA,111,67,44,0,0%,4,9%,16,36%,24,55%,91%,619
6/30/2021,342900010176,PS 176 CAMBRIA HEIGHTS,Grade 4 Math,111,67,44,7,16%,5,11%,15,34%,17,39%,73%,606
6/30/2021,342900010176,PS 176 CAMBRIA HEIGHTS,Grade 5 ELA,94,72,22,2,9%,2,9%,3,14%,15,68%,82%,623
6/30/2021,342900010176,PS 176 CAMBRIA HEIGHTS,Grade 5 Math,94,72,22,3,14%,3,14%,4,18%,12,55%,73%,612
6/30/2021,342900010181,PS 181 BROOKFIELD,Grade 3 ELA,43,38,5,0,0%,2,40%,3,60%,0,0%,60%,605
6/30/2021,342900010181,PS 181 BROOKFIELD,Grade 3 Math,43,38,5,2,40%,3,60%,0,0%,0,0%,0%,585
6/30/2021,342900010181,PS 181 BROOKFIELD,Grade 4 ELA,43,36,7,0,0%,2,29%,0,0%,5,71%,71%,621
6/30/2021,342900010181,PS 181 BROOKFIELD,Grade 4 Math,43,37,6,1,17%,3,50%,2,33%,0,0%,33%,592
6/30/2021,342900010181,PS 181 BROOKFIELD,Grade 5 ELA,45,33,12,4,33%,5,42%,2,17%,1,8%,25%,595
