dbn,ay,test_year,grade,category,number_tested,mean_scale_score,level_1_n,level_1_pct,level_2_n,level_2_pct,level_3_n,level_3_pct,level_4_n,level_4_pct,level_3_4_n,level_3_4_pct,year,charter
84X487,2018,2019,3,All Students,78,611.0,4.0,5.1,10.0,12.8,54.0,69.2,10.0,12.8,64.0,82.1,2019,True
84X487,2012,2013,4,All Students,80,300.0,22.0,27.5,40.0,50.0,15.0,18.8,3.0,3.8,18.0,22.5,2013,True
84X487,2013,2014,4,All Students,75,302.0,19.0,25.3,33.0,44.0,15.0,20.0,8.0,10.7,23.0,30.7,2014,True
84X487,2014,2015,4,All Students,74,299.0,18.0,24.3,39.0,52.7,13.0,17.6,4.0,5.4,17.0,23.0,2015,True
84X487,2015,2016,4,All Students,73,321.0,5.0,6.8,25.0,34.2,26.0,35.6,17.0,23.3,43.0,58.9,2016,True
84X487,2016,2017,4,All Students,75,318.0,5.0,6.7,27.0,36.0,31.0,41.3,12.0,16.0,43.0,57.3,2017,True
84X487,2017,2018,4,All Students,71,607.0,3.0,4.2,18.0,25.4,35.0,49.3,15.0,21.1,50.0,70.4,2018,True
84X487,2018,2019,4,All Students,88,614.0,2.0,2.3,7.0,8.0,45.0,51.1,34.0,38.6,79.0,89.8,2019,True
84X487,2013,2014,5,All Students,75,305.0,18.0,24.0,34.0,45.3,17.0,22.7,6.0,8.0,23.0,30.7,2014,True
84X487,2014,2015,5,All Students,75,304.0,20.0,26.7,34.0,45.3,17.0,22.7,4.0,5.3,21.0,28.0,2015,True
84X487,2015,2016,5,All Students,73,298.0,27.0,37.0,26.0,35.6,15.0,20.5,5.0,6.8,20.0,27.4,2016,True
84X487,2016,2017,5,All Students,73,313.0,13.0,17.8,29.0,39.7,24.0,32.9,7.0,9.6,31.0,42.5,2017,True
84X487,2017,2018,5,All Students,78,612.0,3.0,3.8,28.0,35.9,26.0,33.3,21.0,26.9,47.0,60.3,2018,True
84X487,2018,2019,5,All Students,72,612.0,7.0,9.7,17.0,23.6,28.0,38.9,20.0,27.8,48.0,66.7,2019,True
84X487,2014,2015,6,All Students,103,307.0,15.0,14.6,58.0,56.3,19.0,18.4,11.0,10.7,30.0,29.1,2015,True
84X487,2015,2016,6,All Students,103,301.0,24.0,23.3,48.0,46.6,22.0,21.4,9.0,8.7,31.0,30.1,2016,True
84X487,2016,2017,6,All Students,82,297.0,23.0,28.0,41.0,50.0,11.0,13.4,7.0,8.5,18.0,22.0,2017,True
84X487,2017,2018,6,All Students,74,602.0,11.0,14.9,22.0,29.7,24.0,32.4,17.0,23.0,41.0,55.4,2018,True
84X487,2018,2019,6,All Students,78,601.0,16.0,20.5,16.0,20.5,25.0,32.1,21.0,26.9,46.0,59.0,2019,True
84X487,2015,2016,7,All Students,99,311.0,15.0,15.2,40.0,40.4,35.0,35.4,9.0,9.1,44.0,44.4,2016,True
84X487,2016,2017,7,All Students,98,313.0,15.0,15.3,33.0,33.7,43.0,43.9,7.0,7.1,50.0,51.0,2017,True
84X487,2017,2018,7,All Students,73,603.0,15.0,20.5,25.0,34.2,26.0,35.6,7.0,9.6,33.0,45.2,2018,True
84X487,2018,2019,7,All Students,64,602.0,12.0,18.8,27.0,42.2,20.0,31.3,5.0,7.8,25.0,39.1,2019,True
84X487,2016,2017,8,All Students,86,314.0,10.0,11.6,25.0,29.1,38.0,44.2,13.0,15.1,51.0,59.3,2017,True
84X487,2017,2018,8,All Students,90,607.0,3.0,3.3,23.0,25.6,42.0,46.7,22.0,24.4,64.0,71.1,2018,True
84X487,2018,2019,8,All Students,67,603.0,5.0,7.5,25.0,37.3,28.0,41.8,9.0,13.4,37.0,55.2,2019,True
84X487,2012,2013,All Grades,All Students,156,301.0,48.0,30.8,68.0,43.6,36.0,23.1,4.0,2.6,40.0,25.6,2013,True
84X487,2013,2014,All Grades,All Students,222,305.0,49.0,22.1,107.0,48.2,48.0,21.6,18.0,8.1,66.0,29.7,2014,True
84X487,2014,2015,All Grades,All Students,325,305.0,66.0,20.3,165.0,50.8,74.0,22.8,20.0,6.2,94.0,28.9,2015,True
84X487,2015,2016,All Grades,All Students,420,308.0,83.0,19.8,176.0,41.9,121.0,28.8,40.0,9.5,161.0,38.3,2016,True
84X487,2016,2017,All Grades,All Students,490,313.0,72.0,14.7,176.0,35.9,189.0,38.6,53.0,10.8,242.0,49.4,2017,True
84X487,2017,2018,All Grades,All Students,471,608.0,35.0,7.4,127.0,27.0,210.0,44.6,99.0,21.0,309.0,65.6,2018,True
84X487,2018,2019,All Grades,All Students,447,607.0,46.0,10.3,102.0,22.8,200.0,44.7,99.0,22.1,299.0,66.9,2019,True
84X488,2012,2013,6,All Students,92,281.0,42.0,45.7,44.0,47.8,6.0,6.5,0.0,0.0,6.0,6.5,2013,True
84X488,2013,2014,6,All Students,78,291.0,25.0,32.1,39.0,50.0,11.0,14.1,3.0,3.8,14.0,17.9,2014,True
84X488,2014,2015,6,All Students,88,293.0,32.0,36.4,34.0,38.6,15.0,17.0,7.0,8.0,22.0,25.0,2015,True
84X488,2015,2016,6,All Students,87,291.0,28.0,32.2,39.0,44.8,11.0,12.6,9.0,10.3,20.0,23.0,2016,True
84X488,2016,2017,6,All Students,86,288.0,31.0,36.0,45.0,52.3,7.0,8.1,3.0,3.5,10.0,11.6,2017,True
84X488,2017,2018,6,All Students,85,596.0,25.0,29.4,29.0,34.1,20.0,23.5,11.0,12.9,31.0,36.5,2018,True
84X488,2018,2019,6,All Students,89,591.0,40.0,44.9,24.0,27.0,15.0,16.9,10.0,11.2,25.0,28.1,2019,True
84X488,2012,2013,7,All Students,79,290.0,32.0,40.5,37.0,46.8,10.0,12.7,0.0,0.0,10.0,12.7,2013,True
