mean_scale_score,total_enrollment,asian_pct,black_pct,hispanic_pct,white_pct,swd_pct,ell_pct,poverty_pct,charter,eni_pct,district
615.673584,372,0.159,0.099,0.452,0.258,0.121,0.022,0.567,0,0.594,1
593.8070679,369,0.005,0.214,0.688,0.092,0.266,0.092,0.864,0,0.849,14
595.8580322,1256,0.132,0.096,0.748,0.018,0.173,0.282,0.861,0,0.774,30
590.6841431,967,0.034,0.335,0.473,0.142,0.301,0.112,0.793,0,0.802,31
594.3805542,168,0.012,0.399,0.554,0.012,0.28,0.071,0.96,0,0.946,4
618.4857178,281,0.281,0.046,0.146,0.466,0.21,0.025,0.217,0,0.21,26
603.3658447,316,0.165,0.054,0.731,0.019,0.203,0.117,0.915,0,0.74,27
598.2562866,482,0.019,0.9,0.058,0.01,0.226,0.041,0.83,0,0.715,18
612.166687,1111,0.534,0.004,0.189,0.266,0.172,0.138,0.728,0,0.647,20
619.864502,1651,0.544,0.005,0.159,0.288,0.134,0.098,0.733,0,0.653,20
614,1172,0.009,0.795,0.127,0.014,0.125,0.033,0.776,1,0.737,84
613,606,0.005,0.34,0.627,0.01,0.106,0.173,0.921,1,0.895,84
616.9077148,725,0.161,0.019,0.172,0.626,0.197,0.052,0.51,0,0.339,31
619.0487671,560,0.164,0.039,0.159,0.532,0.22,0.025,0.177,0,0.168,2
604.0714111,295,0.498,0.18,0.285,0.024,0.288,0.19,0.776,0,0.834,2
595,318,0.069,0.267,0.119,0.45,0.264,0.028,0.283,1,0.358,84
601.1153564,327,0.006,0.205,0.749,0.031,0.245,0.098,0.869,0,0.843,14
605,529,0.004,0.798,0.185,0.006,0.149,0.055,0.815,1,0.85,84
619.6394043,1520,0.659,0.047,0.139,0.134,0.104,0.068,0.695,0,0.554,26
604,829,0.124,0.117,0.376,0.311,0.207,0.076,0.53,1,0.534,84
603.1333618,285,0.077,0.06,0.4,0.442,0.179,0.098,0.561,0,0.604,30
587.6173096,644,0.016,0.84,0.098,0.028,0.205,0.14,0.792,0,0.829,17
613,520,0.004,0.815,0.146,0.006,0.144,0.071,0.837,1,0.744,84
607.3286743,1000,0.234,0.043,0.428,0.255,0.118,0.144,0.671,0,0.623,30
591.4949951,911,0.327,0.342,0.177,0.016,0.206,0.074,0.869,0,0.7,27
622,1042,0.007,0.81,0.154,0.008,0.168,0.03,0.833,1,0.838,84
604.2727051,578,0.054,0.01,0.17,0.76,0.306,0.014,0.322,0,0.281,31
590.6391602,318,0.013,0.27,0.701,0.006,0.365,0.138,0.96,0,0.93,9
606,548,0.011,0.874,0.069,0.007,0.146,0.066,0.838,1,0.734,84
601.4411621,320,0.097,0.103,0.397,0.35,0.253,0.034,0.491,0,0.534,1
584.6764526,402,0.007,0.595,0.333,0.017,0.294,0.062,0.96,0,0.96,23
604.270813,622,0.074,0.013,0.892,0.011,0.145,0.315,0.96,0,0.832,30
591.9440918,761,0.013,0.018,0.963,0.003,0.196,0.23,0.96,0,0.891,24
602.3805542,757,0.034,0.754,0.049,0.009,0.12,0.008,0.654,0,0.388,29
609.375,302,0.089,0.142,0.295,0.437,0.348,0.036,0.341,0,0.379,15
588.1460571,683,0.023,0.07,0.864,0.037,0.217,0.381,0.924,0,0.945,10
606.4780884,775,0.644,0.03,0.295,0.023,0.186,0.271,0.787,0,0.808,25
603.7796631,700,0.049,0.009,0.537,0.349,0.19,0.154,0.853,0,0.704,24
594,619,0.152,0.643,0.157,0.026,0.184,0.118,0.817,1,0.73,84
598.6617432,307,0.02,0.283,0.681,0.01,0.27,0.117,0.935,0,0.935,7
589.4455566,711,0.035,0.782,0.124,0.031,0.173,0.065,0.781,0,0.637,29
583.8156128,395,0.01,0.185,0.785,0.015,0.233,0.304,0.96,0,0.945,12
584.1551514,471,0.021,0.507,0.412,0.036,0.255,0.163,0.96,0,0.936,5
609,811,0.269,0.372,0.33,0.012,0.113,0.092,0.799,1,0.658,84
612,390,0.01,0.841,0.105,0.003,0.156,0.031,0.821,1,0.742,84
619.375,560,0.164,0.039,0.159,0.532,0.22,0.025,0.177,0,0.168,2
603.1591187,1317,0.062,0.017,0.159,0.745,0.25,0.023,0.453,0,0.348,31
611.5853882,346,0.017,0.329,0.633,0.017,0.199,0.092,0.864,0,0.833,7
603.510437,735,0.003,0.195,0.789,0.011,0.263,0.113,0.893,0,0.912,9
594.1914673,485,0.012,0.336,0.443,0.159,0.334,0.049,0.736,0,0.794,15
616.3621826,1204,0.194,0.011,0.237,0.541,0.165,0.066,0.516,0,0.363,24
623.222229,678,0.69,0.04,0.131,0.075,0.161,0.146,0.68,0,0.672,1
604.5625,216,0.037,0.773,0.157,0.023,0.338,0.037,0.847,0,0.833,16
587.3448486,480,0.008,0.231,0.729,0.01,0.223,0.146,0.908,0,0.939,7
606.0184326,1126,0.106,0.008,0.453,0.418,0.184,0.099,0.651,0,0.554,24
611.3577881,1244,0.194,0.044,0.255,0.477,0.151,0.11,0.625,0,0.568,20
606.2328491,492,0.165,0.053,0.642,0.093,0.236,0.293,0.821,0,0.671,27
592.0107422,515,0.002,0.054,0.926,0.014,0.181,0.169,0.895,0,0.92,32
597.4898682,764,0.034,0.059,0.611,0.243,0.186,0.124,0.499,0,0.581,14
593.1419678,358,0.229,0.436,0.246,0.017,0.243,0.115,0.838,0,0.809,28
594.9725952,461,0.024,0.213,0.744,0.004,0.241,0.21,0.96,0,0.873,19
623,702,0.011,0.654,0.303,0.024,0.177,0.034,0.829,1,0.788,84
615,323,0.0340557284653186,0.61919504404068,0.294117659330368,0.0247678011655807,0.117647059261799,0.025,0.628,1,0.592,84
595.6531982,823,0.067,0.07,0.825,0.024,0.196,0.209,0.915,0,0.848,19
614.1372681,348,0.037,0.681,0.218,0.02,0.193,0.092,0.845,0,0.912,16
592.6640015,752,0.009,0.93,0.037,0.007,0.221,0.033,0.775,0,0.725,18
595.4069214,1031,0.033,0.16,0.795,0.003,0.204,0.274,0.96,0,0.96,10
593.725647,332,0.087,0.169,0.611,0.13,0.232,0.151,0.88,0,0.802,11
595.8679199,450,0.042,0.662,0.249,0.024,0.267,0.089,0.94,0,0.922,19
593.4785767,890,0.007,0.098,0.86,0.011,0.22,0.242,0.925,0,0.96,10
624.2399902,411,0.871,0,0.083,0.046,0.122,0.421,0.96,0,0.901,20
592.1958618,281,0.021,0.623,0.31,0.011,0.228,0.053,0.879,0,0.838,11
617.1124268,310,0.594,0.032,0.161,0.181,0.132,0.106,0.465,0,0.382,26
586.6738892,1220,0.086,0.156,0.696,0.038,0.243,0.255,0.934,0,0.924,10
594.1646118,586,0.15,0.102,0.52,0.196,0.208,0.232,0.713,0,0.765,30
602,563,0.018,0.817,0.151,0.004,0.126,0.011,0.847,1,0.78,84
585.3586426,395,0.01,0.185,0.785,0.015,0.233,0.304,0.96,0,0.945,12
591.7866821,597,0.008,0.136,0.807,0.042,0.302,0.38,0.921,0,0.946,6
608.168396,838,0.252,0.014,0.257,0.464,0.16,0.223,0.706,0,0.675,21
609,223,0.009,0.794,0.152,0.004,0.143,0.031,0.816,1,0.735,84
620.7832031,945,0.36,0.004,0.366,0.254,0.154,0.213,0.819,0,0.884,21
586.0678101,406,0.02,0.485,0.443,0.022,0.288,0.071,0.916,0,0.913,5
596.6890259,493,0.024,0.158,0.807,0.006,0.274,0.373,0.897,0,0.933,10
586.5625,330,0.033,0.761,0.17,0.009,0.155,0.103,0.96,0,0.853,17
597,541,0.007,0.1,0.878,0.009,0.314,0.185,0.943,0,0.92,7
585.9199829,571,0.002,0.13,0.855,0.007,0.214,0.187,0.928,0,0.948,12
633.8504639,1754,0.333,0.067,0.113,0.397,0.086,0.016,0.245,0,0.269,1
614,868,0.06,0.579,0.335,0.007,0.103,0.071,0.805,1,0.747,84
587.9793701,668,0.001,0.189,0.775,0.025,0.352,0.127,0.96,0,0.935,8
608.3153076,520,0.033,0.062,0.267,0.612,0.167,0.094,0.535,0,0.413,11
598,421,0,0.055,0.941,0.002,0.154,0.195,0.96,1,0.908,84
614,563,0.018,0.817,0.151,0.004,0.126,0.011,0.847,1,0.78,84
594.539978,336,0.018,0.539,0.414,0.012,0.277,0.077,0.96,0,0.945,14
595.1472778,545,0.13,0.217,0.431,0.185,0.283,0.042,0.728,0,0.671,2
609.1176758,982,0.367,0.074,0.331,0.223,0.181,0.136,0.727,0,0.784,21
607.8684082,450,0.033,0.273,0.684,0.004,0.204,0.169,0.942,0,0.877,9
615.6976929,520,0.033,0.062,0.267,0.612,0.167,0.094,0.535,0,0.413,11
599.4523926,153,0.007,0.484,0.353,0.124,0.203,0.124,0.758,0,0.75,3
601.5922241,988,0.083,0.114,0.735,0.051,0.288,0.254,0.96,0,0.886,10
602.8262939,752,0.009,0.93,0.037,0.007,0.221,0.033,0.775,0,0.725,18
