dbn,ay,test_year,grade,category,number_tested,mean_scale_score,level_1_n,level_1_pct,level_2_n,level_2_pct,level_3_n,level_3_pct,level_4_n,level_4_pct,level_3_4_n,level_3_4_pct,year,charter
84X309,2017,2018,All Grades,All Students,145,601.0,14.0,9.7,62.0,42.8,52.0,35.9,17.0,11.7,69.0,47.6,2018,True
84X309,2018,2019,All Grades,All Students,195,601.0,38.0,19.5,63.0,32.3,66.0,33.8,28.0,14.4,94.0,48.2,2019,True
84X345,2012,2013,3,All Students,78,289.0,27.0,34.6,39.0,50.0,10.0,12.8,2.0,2.6,12.0,15.4,2013,True
84X345,2013,2014,3,All Students,73,300.0,22.0,30.1,25.0,34.2,17.0,23.3,9.0,12.3,26.0,35.6,2014,True
84X345,2014,2015,3,All Students,78,300.0,23.0,29.5,34.0,43.6,14.0,17.9,7.0,9.0,21.0,26.9,2015,True
84X345,2015,2016,3,All Students,68,295.0,18.0,26.5,33.0,48.5,13.0,19.1,4.0,5.9,17.0,25.0,2016,True
84X345,2016,2017,3,All Students,71,293.0,18.0,25.4,34.0,47.9,15.0,21.1,4.0,5.6,19.0,26.8,2017,True
84X345,2017,2018,3,All Students,79,593.0,28.0,35.4,25.0,31.6,20.0,25.3,6.0,7.6,26.0,32.9,2018,True
84X345,2018,2019,3,All Students,77,591.0,26.0,33.8,33.0,42.9,14.0,18.2,4.0,5.2,18.0,23.4,2019,True
84X345,2012,2013,4,All Students,75,290.0,25.0,33.3,36.0,48.0,12.0,16.0,2.0,2.7,14.0,18.7,2013,True
84X345,2013,2014,4,All Students,77,302.0,25.0,32.5,21.0,27.3,25.0,32.5,6.0,7.8,31.0,40.3,2014,True
84X345,2014,2015,4,All Students,75,298.0,20.0,26.7,31.0,41.3,15.0,20.0,9.0,12.0,24.0,32.0,2015,True
84X345,2015,2016,4,All Students,72,297.0,22.0,30.6,26.0,36.1,20.0,27.8,4.0,5.6,24.0,33.3,2016,True
84X345,2016,2017,4,All Students,71,296.0,25.0,35.2,28.0,39.4,11.0,15.5,7.0,9.9,18.0,25.4,2017,True
84X345,2017,2018,4,All Students,71,599.0,13.0,18.3,22.0,31.0,23.0,32.4,13.0,18.3,36.0,50.7,2018,True
84X345,2018,2019,4,All Students,79,598.0,18.0,22.8,30.0,38.0,21.0,26.6,10.0,12.7,31.0,39.2,2019,True
84X345,2012,2013,5,All Students,75,277.0,55.0,73.3,16.0,21.3,4.0,5.3,0.0,0.0,4.0,5.3,2013,True
84X345,2013,2014,5,All Students,73,299.0,29.0,39.7,25.0,34.2,18.0,24.7,1.0,1.4,19.0,26.0,2014,True
84X345,2014,2015,5,All Students,79,299.0,31.0,39.2,28.0,35.4,15.0,19.0,5.0,6.3,20.0,25.3,2015,True
84X345,2015,2016,5,All Students,73,305.0,24.0,32.9,25.0,34.2,17.0,23.3,7.0,9.6,24.0,32.9,2016,True
84X345,2016,2017,5,All Students,71,300.0,27.0,38.0,22.0,31.0,19.0,26.8,3.0,4.2,22.0,31.0,2017,True
84X345,2017,2018,5,All Students,73,602.0,18.0,24.7,25.0,34.2,19.0,26.0,11.0,15.1,30.0,41.1,2018,True
84X345,2018,2019,5,All Students,74,600.0,24.0,32.4,20.0,27.0,17.0,23.0,13.0,17.6,30.0,40.5,2019,True
